MAL_ID,Synopsis
155,edge concluding battle future staged decided returns tokyo ultimate challenge defenders earth stand ready protect earth angels devastation planet bring decide fight idea utterly friends decides step position struggle
156,finally arrived returns tokyo powerful protect friends avoiding fate holds future hands choice earth gather angels individuals battle fate future choose reality
157,training pass master final task bizarre english teacher school completely students teacher matters worse promises helps circumstances force fighting evil helping class pass final lot humor magic thrown
158,entered academy prestigious catholic school tokyo catch eye beautiful school popular students offered sister guide academy idea completely entire campus rumors accepting offer constantly center entire school attention
159,war occurred century humans time rule fear hidden public view boy defended meets power bar machines ride battle hear girl hidden waiting battle dreams imagine hear meets agents friends true extent powers continue battle evil hope forgotten beautiful
161,murder parents lead desire strength age approached lacked mind cut threatened peace support brother friends blood pain historical
163,ancient tells granted owner globe clash seek based game game hero training fighter
164,village attacked fierce prince life stake defend tribe dying breath prince arm granting powers gradually life instructed village elders travel cure iron town fierce conflict lady promoting constant stands san spirits forest destruction brought humans opposing forces nature clash desperate struggle survival attempts seek harmony tale connection technology nature path harmony achieved mutual acceptance
165,ordinary life school student upside tokyo suddenly fighter jets chaos woman called claims government organization called reveals living time tokyo jupiter attempt tokyo break barrier surrounding city unable process runs leads called egg starts unknown power connecting called breaks egg shortly fighting caught question purpose altered memories ultimately identity chaotic
167,born royal family earned scrapped destroying birthday death family takes shelter brother sister shannon news survival reaches god issue death costs forcing life plagued threats church common people attempt fate bring questioning girl life worth demise true nature scrapped apparent birthday fast approaches
168,strange environmental phenomenon caused land split reaching unprecedented heights creating lost ground lives lost ground sustain harsh environment people alter ability arm purpose capture native alter users elite
169,sustained life threatening injury child incident household relative raised school head household father dies sister head household holds huge secret injury lines pair unable remember time accident day moves household day woman temporary fit suddenly alive
170,massive red hair hoping finally girlfriend break record rejected consecutive times middle school leading avoided students events left hate basketball desperately girlfriend day girl approaches knowledge likes basketball falls head heels love leads attempt leap head straight basketball team physical slowly drawn competition sport held
171,normal filled tiny people people protect land time set mission village brought return war brewing political tool rally people
173,grew ability isolated share gift friends gaining existence day told strongest eating news strength vowed stronger deciding time searched wide eating luck living writer job finally news nearby supposedly eating
